,                                       Entering Foster Care during the Year,,,,,,,,,,,,,,,,,,,9 year change,                                                       Exiting Care during the Year,,,,,,,,,,                                       In Foster Care on Last Day of Year (September 30),,,,,,,,,
State,FY 2003,FY 2004,change 03-04,FY 2005,change 04-05,FY 2006,change 05-06,FY 2007,change 06-07,FY 2008,change 07-08,FY 2009,change 08-09,FY 2010,change 09-10,FY 2011,change 10-11,FY 2012,change 11-12,,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012
Kansas,"2,677","3,038",0.135,"3,117",0.026,"3,506",0.125,"4,075",0.162,"3,513",-0.138,"3,163",-0.100,"3,567",0.128,"3,439",-0.036,"3,724",0.083,0.391,"2,285","2,216","2,940","2,918","3,584","3,757","3,615","3,173","3,467","3,471","5,781","6,060","5,833","6,237","6,631","6,306","5,691","5,979","5,852","6,002"
Kentucky,"5,476","5,561",0.016,"5,950",0.070,"6,357",0.068,"5,790",-0.089,"5,763",-0.005,"5,387",-0.065,"5,500",0.021,"5,120",-0.069,"5,627",0.099,0.028,"4,980","5,092","5,494","5,638","5,454","5,580","5,434","5,132","5,108","4,885","6,888","6,998","7,220","7,695","7,207","7,182","6,872","6,983","6,659","6,979"
Louisiana,"2,809","2,754",-0.020,"3,371",0.224,"3,965",0.176,"3,633",-0.084,"3,403",-0.063,"3,631",0.067,"3,344",-0.079,"3,731",0.116,"3,131",-0.161,0.115,"2,866","2,671","2,762","3,386","3,308","3,466","3,683","3,648","3,538","3,470","4,541","4,397","4,833","5,213","5,333","5,065","4,786","4,453","4,531","4,044"
Maine,904,819,-0.094,716,-0.126,740,0.034,846,0.143,897,0.060,753,-0.161,760,0.009,552,-0.274,911,0.650,0.008,933,967,994,993,930,979,959,841,785,667,"2,760","2,589","2,339","2,076","1,971","1,864","1,646","1,546","1,296","1,512"
Maryland,"3,470","3,564",0.027,"3,353",-0.059,"3,361",0.002,"2,671",-0.205,"2,699",0.010,"2,787",0.033,"2,793",0.002,"2,806",0.005,"2,653",-0.055,-0.235,"3,062","3,265","2,679","3,564","3,222","3,431","3,265","3,649","3,167","3,047","11,521","11,111","10,867","9,051","8,415","7,613","7,065","6,098","5,460","4,884"
Massachusetts,"6,507","6,616",0.017,"6,252",-0.055,"6,377",0.020,"6,413",0.006,"6,688",0.043,"6,174",-0.077,"5,516",-0.107,"5,371",-0.026,"5,301",-0.013,-0.185,"6,139","6,347","6,329","6,747","6,202","6,475","6,674","5,961","5,464","5,120","12,608","12,562","12,197","11,499","10,497","10,427","9,652","8,958","8,619","8,522"
Michigan,"9,650","9,741",0.009,"9,296",-0.046,"9,005",-0.031,"9,114",0.012,"8,715",-0.044,"7,863",-0.098,"8,192",0.042,"7,392",-0.098,"7,145",-0.033,-0.260,"8,979","9,234","9,546","8,695","8,550","9,379","10,182","9,286","8,502","7,869","21,376","21,173","20,498","20,142","20,830","20,171","17,723","16,424","15,091","14,522"
Minnesota,"8,080","7,806",-0.034,"8,196",0.050,"7,997",-0.024,"7,756",-0.030,"7,190",-0.073,"5,999",-0.166,"5,643",-0.059,"5,946",0.054,"5,974",0.005,-0.261,"8,195","7,554","7,336","7,605","7,510","7,508","6,283","5,697","5,709","5,276","6,770","6,540","6,989","6,813","6,711","6,028","5,410","5,050","4,995","5,436"
Mississippi,"1,570","1,852",0.180,"2,048",0.106,"1,950",-0.048,"2,283",0.171,"2,098",-0.081,"2,107",0.004,"2,577",0.223,"2,368",-0.081,"2,412",0.019,0.536,"1,525","1,560","1,659","2,018","2,043","2,104","2,064","2,305","2,358","2,300","2,721","2,989","3,269","3,126","3,328","3,292","3,320","3,582","3,597","3,689"
Missouri,"6,342","6,618",0.044,"6,451",-0.025,"5,768",-0.106,"5,260",-0.088,"4,557",-0.134,"5,173",0.135,"5,791",0.119,"5,911",0.021,"6,189",0.047,-0.024,"6,560","6,028","6,213","6,382","5,107","4,576","4,902","5,057","5,420","5,477","11,900","11,778","11,433","10,207","10,282","7,642","7,795","8,687","9,220","9,978"
